num,title,artist,songNum,year,genre,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,"모든 날, 모든 순간 (드라마""키스 먼저..."")",폴킴,91478,2018,Ballad,3Ml2s37uS9jqRM2R3bfDiB,0.47,0.288,8,-9.434,1,0.0279,0.859,1.78e-05,0.103,0.153,133.25
1,소주 한잔,임창정,9431,2003,Ballad,1W3PMEAqtaB6UKydSUvfee,0.314,0.443,7,-5.89,1,0.029,0.475,0,0.147,0.205,141.583
2,체념,BIG MAMA,63269,2003,Ballad,2GQNIuqbHbsSJPjvp91AJg,0.605,0.357,8,-8.742,1,0.0365,0.261,0,0.116,0.134,135.921
3,까만안경,이루,45717,2006,Ballad,0IPZBKJ5PfYR2y7nmCMDIb,0.37,0.237,11,-14.275,1,0.0484,0.791,0,0.112,0.152,129.527
4,밝게 빛나는 별이 되어 비춰 줄게,송이한,22557,2021,Ballad,7hSxOrxogaR7YGpg4l8wmd,0.508,0.488,5,-4.438,1,0.0303,0.642,0,0.0932,0.263,123.954
5,술 한잔해요,지아,46868,2009,Ballad,5RzKwMCJFQEFLM6ok9TrYg,0.504,0.487,6,-4.863,1,0.0369,0.689,0,0.294,0.41,137.699
6,오래된 노래,스탠딩 에그,77480,2012,Ballad,1YlTjvNlsRBvSOcCqv5xm4,0.576,0.569,0,-6.171,1,0.0292,0.134,0,0.108,0.386,143.873
7,포장마차,황인욱,79945,2019,Ballad,3PFF8Rjo6MFi6lT87uAT33,0.383,0.51,2,-5.039,1,0.0356,0.606,0,0.119,0.223,131.054
8,흔들리는 꽃들 속에서 네 샴푸 향이 느껴진 거야,장범준,21022,2019,Ballad,2skS61BQztE5bUpqJnBJAx,0.672,0.774,11,-3.673,1,0.0278,0.321,0,0.12,0.702,100.002
9,추억은 만남보다 이별에 남아,정동하,22563,2021,Ballad,44AbcJTKmV3hipk9gKgUbA,0.522,0.547,10,-3.529,1,0.0288,0.754,0,0.119,0.195,133.793
10,축가,전우성,89660,2018,Ballad,6BW8ERYBXv2oSE5G71Nxzl,0.476,0.561,5,-4.009,1,0.0332,0.583,0,0.227,0.305,135.939
11,"기다릴게 (드라마""공주의 남자"")","하동균,이정",58353,2011,Ballad,44kWeqkygHMSMrHyo80oAc,0.359,0.479,2,-6.916,1,0.0446,0.557,0,0.126,0.317,141.125
12,"아로하(드라마 ""슬기로운 의사 생활"")",조정석,27615,2020,Ballad,1hOEq5q9L41E2YbLhVvW5x,0.672,0.601,2,-3.886,1,0.024,0.401,0,0.0912,0.487,98.991
13,가질 수 없는 너,BANK,3890,1995,Ballad,7INlzYSRRxRxzpJKRq7nxI,0.479,0.373,10,-7.772,1,0.0279,0.614,0,0.0775,0.118,153.933
14,애인 있어요,이은미,45387,2005,Ballad,4hDdZkmUuBiM8mQSGXeY75,0.367,0.663,7,-5.62,1,0.0366,0.696,0,0.983,0.186,137.53
15,꿈속에 너 (Feat.전상근),에이치코드,89554,2018,Ballad,79w8z28yTXmAvC7L7grLux,0.567,0.41,2,-5.744,1,0.0283,0.706,0,0.18,0.235,129.885
16,"너를 위해(영화""동감"")",임재범,6348,2000,Ballad,5vvOBEiVYdvmNXFTO85zt5,0.478,0.451,4,-6.311,1,0.0269,0.608,1.13e-06,0.124,0.145,135.837
17,사랑이 식었다고 말해도 돼,먼데이키즈,98092,2019,Ballad,1K7POuN7vtBx5MCAi2W6DJ,0.492,0.476,4,-4.901,1,0.0323,0.812,0,0.109,0.563,133.896
18,Hello,허각,47499,2011,Ballad,0SOnbGVEf5q0YqL0FO2qu0,0.397,0.561,6,-4.148,1,0.0455,0.744,0,0.0866,0.239,132.165
19,친구,안재욱,9321,2003,Ballad,3Wh66t8DDBZqvP6K2NuJVk,0.6,0.219,7,-16.748,1,0.0294,0.0637,0.783,0.14,0.178,135.965
20,"My Way (드라마""돈꽃"")",이수,49720,2017,Ballad,4fOfwLHQJz49Q8T1jrz54I,0.472,0.402,10,-7.855,1,0.0322,0.346,0,0.11,0.206,76.946
21,보고싶다,김범수,62858,2002,Ballad,2ES5x2KyfEeyplKPW0hkA5,0.488,0.335,5,-7.585,1,0.0286,0.754,0,0.0851,0.167,127.908
22,사랑 안 해,백지영,45528,2006,Ballad,4iNVdTfA97m3dJqdNqNyfe,0.569,0.472,7,-6.195,1,0.0274,0.387,0,0.141,0.366,135.915
23,감사,김동률,85398,2007,Ballad,6vL9tLXg2XnsYXndqpIUQS,0.409,0.423,1,-8.197,1,0.0302,0.726,8.46e-06,0.23,0.132,132.03
24,취하고 싶다 (Prod. By 전태익),황인욱,89509,2018,Ballad,2H2thTXJVGKR8PibPHVFw2,0.568,0.43,6,-9.609,1,0.0303,0.0116,0.609,0.195,0.129,134.008
25,노래방에서,장범준,97118,2019,Ballad,0afoCntatBcJGjz525RxBT,0.599,0.648,0,-3.618,0,0.027,0.211,0,0.472,0.723,104.011
26,지나오다,닐로,90989,2018,Ballad,7CEp2jyohd05jqAiWafcOK,0.648,0.313,7,-6.778,1,0.0313,0.88,0,0.136,0.436,113.752
27,다시 만날까 봐,V.O.S,98922,2019,Ballad,607muQQkKQGweEVD6hAgwM,0.615,0.541,6,-4.066,1,0.0291,0.571,0,0.116,0.372,127.883
28,그날에 나는 맘이 편했을까,이예준,22381,2020,Ballad,4fx2P5JDZ7hszBkTxzftQL,0.536,0.427,10,-4.127,1,0.0348,0.729,1.66e-06,0.0682,0.217,129.561
29,너를 만나,폴킴,92439,2018,Ballad,5AkyvofVWUqds8x1HHgDU9,0.351,0.29,0,-8.34,1,0.0296,0.792,0,0.312,0.337,143.88
30,사랑에 연습이 있었다면 (Prod. 2Soo),임재현,97871,2019,Ballad,3qCL1z9ex9cM26sAYfAHxU,0.543,0.431,4,-6.784,0,0.0301,0.584,1.9e-05,0.108,0.173,135.813
31,준비 없는 이별,녹색지대,3977,1995,Ballad,7CSmwiPhtzLt03ZiLCGmlv,0.519,0.421,7,-8.614,1,0.03,0.502,1.18e-06,0.104,0.265,153.742
32,잠이 오질 않네요,장범준,28198,2020,Ballad,638ZqDkW3jdwkla129O2MZ,0.538,0.478,3,-5.315,0,0.032,0.721,0,0.315,0.395,79.986
33,조금 취했어 (Prod. 2Soo),임재현,27086,2019,Ballad,3tdVMK7L0hJyluQaG0i925,0.348,0.5,5,-5.275,1,0.0282,0.197,0,0.259,0.185,134.384
34,우리 왜 헤어져야 해,신예영,21407,2020,Ballad,3UPjb91Fwm7u2tAm92Bk0p,0.554,0.526,7,-5.21,1,0.0394,0.808,0,0.074,0.23,129.845
35,그날처럼,장덕철,49742,2017,Ballad,5Kh4U2f0W2Kz7zRilOMwth,0.513,0.382,3,-6.63,1,0.0518,0.435,0,0.261,0.27,136.95
36,나를 사랑했던 사람아,허각,47703,2012,Ballad,2IUuJlCC8LyqdMqF2ej0nq,0.447,0.375,11,-5.829,1,0.0315,0.78,0,0.0947,0.263,127.063
37,"안녕 (드라마""호텔 델루나"")",폴킴,21020,2019,Ballad,6e2q1I8aq1bhNlructWgta,0.449,0.292,0,-7.09,1,0.0321,0.809,0,0.16,0.289,131.119
38,늦은 밤 너의 집 앞 골목길에서,노을,21238,2019,Ballad,3QRUPaizh0X42xNQMr8aPg,0.475,0.458,6,-5.72,1,0.0444,0.672,0,0.0814,0.342,67.347
39,가을 안부,먼데이키즈,49701,2017,Ballad,02CMonEm2NrUYcpQw79THN,0.317,0.544,6,-5.671,1,0.0306,0.495,0,0.154,0.225,131.153
40,오늘도 빛나는 너에게(To You My Light)(Feat.이..,마크툽,79935,2019,Ballad,5kPpA4aMFeAQnahSnTIOi4,0.509,0.573,5,-5.29,1,0.0333,0.242,0,0.155,0.305,149.948
41,서면역에서,순순희,22143,2020,Ballad,23qzVx2zTL1fIGMV1KwPjr,0.424,0.616,0,-4.278,1,0.0329,0.61,0,0.193,0.283,135.535
42,"취기를 빌려 (웹툰""취향 저격 그녀"")",산들(B1A4),27964,2020,Ballad,1xWVYPdaLm909DbFmuPGOR,0.697,0.447,1,-6.552,1,0.0264,0.769,0,0.115,0.549,93.931
43,"만약에 (드라마""쾌도 홍길동"")",태연(소녀시대),83377,2008,Ballad,1BHLy0efFQ8FFxyxgJtTMf,0.527,0.378,9,-6.527,1,0.0289,0.82,0,0.115,0.283,145.871
44,밤하늘의 별을(2020),경서,22298,2020,Ballad,7MXtr93z4ltQzhfIxYnYWX,0.583,0.643,3,-5.338,1,0.0775,0.492,0,0.225,0.691,154.133
45,I Love You,포지션,6666,2000,Ballad,0rXBAMbHo7WTddZYfK2AX9,0.397,0.391,10,-8.483,1,0.0305,0.555,0.000164,0.122,0.187,139.956
46,아리랑,SG워너비,45903,2007,Ballad,5Ya9luwvvYgRqIB6GFCp3i,0.609,0.717,1,-5.539,1,0.04,0.271,0.00043,0.0996,0.442,105.02
47,너를 보내고,윤도현밴드,6181,1999,Ballad,6o7xzlqR47HGpbtmCCVw3C,0.576,0.649,0,-4.85,1,0.028,0.774,0.00161,0.115,0.458,118.888
48,"말리 꽃 (영화""비천무"")",이승철,6438,2005,Ballad,1RU6gAnZSoxAE1pYTE7cfh,0.289,0.367,6,-7.238,1,0.0289,0.593,0,0.144,0.11,64.469
49,사랑했나 봐,윤도현,45202,2005,Ballad,1w2hClDL1xH4FPZIipZ1FJ,0.702,0.534,9,-6.102,1,0.0282,0.444,0,0.108,0.544,93.983
50,"그런 사람 또 없습니다 (영화""슬픔보다 더.."")",이승철,46557,2009,Ballad,4IVamb5uivBasUfXsDSmDD,0.435,0.504,1,-6.834,1,0.027,0.581,0,0.694,0.303,137.973
51,그대를 사랑하는 10가지 이유,이석훈,47003,2010,Ballad,1irsHnzK1oo5x0eWJ3pqKx,0.683,0.684,5,-6.381,0,0.0302,0.0503,0,0.242,0.415,117.963
52,오르막길,"윤종신,정인",77313,2012,Ballad,1NiCdqO3SZGPAgJxE8gwgp,0.413,0.38,9,-6.975,1,0.0307,0.677,0,0.568,0.18,133.242
53,화장을 고치고,WAX,7513,2001,Ballad,1QZCHiots2VxitOX5wp10X,0.504,0.37,8,-6.775,1,0.0337,0.736,0,0.134,0.216,135.266
54,끝 사랑,김범수,47408,2011,Ballad,1Uich3MOYxcBw14WavzZpi,0.397,0.335,5,-6.401,1,0.0397,0.651,0,0.119,0.25,141.01
55,응급실 (2021),황인욱,22862,2021,Ballad,3USmrwVK08XzzrIQdYtY1m,0.501,0.442,5,-6.072,1,0.0296,0.714,0,0.124,0.171,141.893
56,"사랑아(드라마 ""내 남자의 여자"")",THE ONE,81766,2007,Ballad,0kJfX857OItSkUSuevwFXR,0.333,0.423,3,-7.001,0,0.0326,0.614,0,0.0864,0.132,134.028
57,바람 기억,나얼,47870,2012,Ballad,1uMLtqpe8beA6fPy3ApJcJ,0.279,0.43,8,-7.412,1,0.0308,0.633,0.00082,0.107,0.147,133.443
58,슬픔 활용법,김범수,46390,2008,Ballad,7fFsLINcNwblIXhF4OSNDC,0.657,0.742,11,-5.685,0,0.0696,0.000515,0.0287,0.1,0.335,131.965
59,가로수 그늘 아래 서면,이문세,1451,2003,Ballad,2X1Cqlc3jMEw7j5scnt6Xv,0.407,0.163,1,-10.118,0,0.0322,0.902,6.45e-06,0.0978,0.184,117.963
60,아로하,쿨,7660,2004,Ballad,1uRB9bYGCSvLSsF4e65UYj,0.529,0.754,3,-4.209,1,0.0551,0.516,0,0.197,0.538,202.018
61,다시 사랑한다 말할까,김동률,7618,2012,Ballad,52p5RtEaTXx1u1udrx8Fqr,0.532,0.54,2,-8.434,1,0.0315,0.176,5.03e-06,0.298,0.243,139.975
62,니 소식,송하예,97922,2019,Ballad,4ivi7tEWb6FEiHrVIL2rgj,0.472,0.6,11,-3.473,1,0.0316,0.693,0,0.15,0.411,135.224
63,다행이다,이적,45912,2007,Ballad,6LLMPJefTffgzRsL4HSmuT,0.437,0.306,4,-9.23,1,0.0396,0.691,0,0.129,0.206,138.734
64,술이 문제야,"장혜진,윤민수",79942,2019,Ballad,6Vu5jrlveGRcQ7FqUujsut,0.565,0.618,8,-4.63,1,0.0407,0.71,0,0.113,0.316,127.824
65,시든 꽃에 물을 주듯,HYNN(박혜원),97859,2019,Ballad,6ylw0U4J3RFj0NoVCMZj93,0.416,0.43,1,-6.117,1,0.0399,0.591,0,0.349,0.151,133.063
66,고맙소,김호중,21659,2020,Ballad,06GizNxrmgbwhIFq00Divq,0.379,0.418,7,-5.876,1,0.0404,0.659,2.74e-06,0.312,0.142,79.812
67,"낙인(드라마""추노"")",임재범,84726,2010,Ballad,0vwe2qufrK0b2UXGesURZw,0.436,0.589,9,-7.659,0,0.0353,0.581,0,0.0992,0.211,143.815
68,총 맞은 것처럼,백지영,83914,2008,Ballad,1eKB7VHL8NmM64993UY1rE,0.715,0.778,10,-1.956,0,0.0267,0.675,0,0.16,0.594,92.025
69,365일,알리,84507,2009,Ballad,633enIZP8zvdSu3Ma0zZs0,0.468,0.392,5,-5.354,1,0.0289,0.583,0,0.0999,0.134,137.516
70,슬픈 언약식,김정민,3951,1995,Ballad,4fjszCyp9aPlac5nTpxYPJ,0.381,0.512,9,-6.364,1,0.0306,0.212,0,0.096,0.191,135.88
71,취중진담,전람회,4772,1996,Ballad,39FFkPyRLQtYBJkgV6ETAw,0.597,0.385,2,-13.326,1,0.0309,0.676,0,0.111,0.312,119.977
72,너에게로 또 다시,변진섭,239,2018,Ballad,2Us7mw6fprGklvfsvYKPV5,0.348,0.554,0,-6.395,0,0.0503,0.367,6.07e-06,0.884,0.314,136.797
73,꽃피는 봄이 오면,BMK,45112,2005,Ballad,1XKyHmwiZojipJUNoIsbhF,0.612,0.492,8,-6.923,1,0.0292,0.186,0,0.0955,0.256,127.959
74,초록빛,폴킴,79738,2019,Ballad,3O4ZjOswNySp5wcmglQhMj,0.403,0.216,0,-10.144,1,0.0347,0.896,0,0.111,0.292,118.964
75,사랑했지만,김길중,98112,2019,Ballad,7sdGJu9g75up0j3LfnUIPZ,0.351,0.258,11,-6.79,1,0.0391,0.905,0,0.164,0.314,68.607
76,"사랑 (드라마""시티 헌터"")",임재범,47387,2011,Ballad,7vAF7yjk44E8kimUqIFXsu,0.431,0.412,1,-6.406,1,0.0284,0.662,0,0.137,0.189,129.584
77,"서쪽하늘 (영화""청연"")",이승철,45430,2005,Ballad,2wKnGjAnQxH9rFDiTSBTyp,0.41,0.463,7,-6.913,0,0.0292,0.607,0,0.117,0.116,109.975
78,사랑아 (나는 가수다 Ver.),THE ONE,87604,2013,Ballad,5TAzrlwHcjsqTtPSBcpL39,0.308,0.619,2,-4.648,0,0.035,0.486,1.55e-06,0.678,0.105,138.076
79,그래 늦지 않았어,녹색지대,5737,1998,Ballad,20CdeaHqFcgqL8rw5QBGcs,0.508,0.69,5,-4.355,1,0.0309,0.314,0,0.406,0.275,79.803
80,Tears,소찬휘,6286,2000,Dance,7vxXOTJxBWRXMrxbiFS1cX,0.33,0.891,0,-1.82,0,0.0452,0.000427,0,0.925,0.149,139.952
81,사랑 비,김태우,46773,2009,Dance,5NPjhp63rwTxH4WNnsbPrt,0.648,0.937,8,-3.841,1,0.0434,0.117,0,0.236,0.427,114.992
82,잘못된 만남,김건모,3658,1995,Dance,5xYps20oq3shRA3TZsSkPI,0.726,0.96,3,-3.429,0,0.0459,0.0358,6.38e-05,0.0374,0.856,137.914
83,8282,다비치,46582,2009,Dance,0a0M1XuLAN2CSlUWryj903,0.561,0.675,2,-5.6,1,0.0783,0.0806,0,0.095,0.277,143.037
84,애상,쿨,5422,2004,Dance,7B04nsd6Y08zVUHSZ2THj4,0.722,0.95,7,-3.712,1,0.0488,0.0368,3.24e-05,0.318,0.925,124.046
85,보여 줄게,에일리,47889,2012,Dance,2MYfUH4Zo7gphaxmMVDrie,0.606,0.872,7,-2.114,0,0.0519,0.262,0,0.125,0.226,129.965
86,빗속의 여인(Remake),김건모,7127,2001,Dance,3mha9zJ31Ya9vSMhkcYnJF,0.587,0.998,10,-4.86,0,0.0506,0.00268,0.0204,0.117,0.927,143.975
87,When We Disco (Duet with 선미),박진영,28021,2020,Dance,2PlqctBgVGDkBbYFDW1jg2,0.678,0.912,8,-3.45,0,0.0293,0.00283,0,0.319,0.692,131.947
88,비행기,거북이,45653,2006,Dance,3GcTcXCJLVdy7iYhSKPGUp,0.745,0.986,7,-2.442,1,0.0683,0.197,0,0.374,0.861,119.963
89,빙고,거북이,64589,2004,Dance,4u7owmZCgtCiuzoUYufdnf,0.742,1.0,8,-1.492,0,0.0431,0.0543,1.31e-05,0.25,0.973,134.96
90,예술이야,PSY,58340,2011,Dance,2aSRUHDFrf6202bDqLQIcd,0.591,0.843,1,-2.983,1,0.028,0.0116,0,0.0643,0.342,128.05
91,붉은 노을,빅뱅,83886,2008,Dance,3qHBjPdFZeS0tfXywAxOKq,0.756,0.87,8,-2.27,1,0.0543,0.0896,0,0.141,0.618,124.983
92,바다의 왕자,박명수,6491,2000,Dance,3OTSFhD4vXLOH10i0FUPgA,0.618,0.983,9,-5.113,1,0.0764,0.0242,0,0.483,0.476,140.008
93,삐딱하게(Crooked),G-DRAGON,48214,2013,Dance,4EwNWRBWdZ6bgvxRHlZ8OO,0.665,0.919,2,-3.211,1,0.0922,0.00191,0,0.0588,0.782,129.962
94,Way Back Home,숀,89692,2018,Dance,3NxuezMdSLgt4OwHzBoUhL,0.745,0.739,10,-4.591,1,0.0327,0.405,0.000183,0.127,0.556,99.913
95,좋은 날,아이유,76754,2010,Dance,1SwZVVH9BnXtLRLi2cbFhw,0.637,0.882,9,-3.034,1,0.0654,0.165,0,0.0981,0.552,128.027
